Transaction ID,Date,Quarter,Business Unit,Revenue,Cost,Profit,Profit Margin (%),Employees,Active Customers,Customer Acquisition Cost,Average Contract Value
TXN1000,2021-01-01,Q1 2021,Digital Services,101463.86,32622.09,67802.95,65.7,5,44,111.64,6200.33
TXN1001,2021-01-01,Q1 2021,Digital Services,97659.3,29340.66,61004.58,65.7,5,44,144.1,6200.33
TXN1002,2021-01-01,Q1 2021,Hardware Sales,68163.43,36759.06,21227.54,36.7,3,32,129.73,5698.53
TXN1003,2021-01-01,Q1 2021,Hardware Sales,64403.9,41978.8,25733.02,36.7,3,32,158.67,5698.53
TXN1004,2021-01-01,Q1 2021,Consulting,43453.82,21293.25,25110.96,48.9,2,18,164.9,7155.43
TXN1005,2021-01-01,Q1 2021,Consulting,48646.98,19933.63,19984.94,48.9,2,18,73.11,7155.43
TXN1006,2021-01-01,Q1 2021,Cloud Infrastructure,113732.4,41965.8,61069.79,58.4,6,66,67.34,4369.04
TXN1007,2021-01-01,Q1 2021,Cloud Infrastructure,95656.07,40923.07,65153.91,58.4,6,66,87.57,4369.04
TXN1016,2021-01-31,Q1 2021,Cloud Infrastructure,121141.39,55476.44,76726.87,59.2,6,57,153.76,6332.96
TXN1015,2021-01-31,Q1 2021,Cloud Infrastructure,119295.09,50104.14,79113.81,59.2,6,57,199.3,6332.96
TXN1014,2021-01-31,Q1 2021,Consulting,46234.69,24697.59,22043.23,52.0,2,23,104.47,5724.38
TXN1013,2021-01-31,Q1 2021,Consulting,46176.09,20724.41,25779.19,52.0,2,23,66.28,5724.38
TXN1010,2021-01-31,Q1 2021,Hardware Sales,74236.56,47645.51,27774.04,36.5,3,29,176.35,7138.67
TXN1011,2021-01-31,Q1 2021,Hardware Sales,63828.73,49469.62,24516.28,36.5,3,29,79.13,7138.67
TXN1009,2021-01-31,Q1 2021,Digital Services,94312.48,30341.26,58089.79,63.3,5,50,153.39,5493.8
TXN1008,2021-01-31,Q1 2021,Digital Services,103051.04,35090.76,66034.94,63.3,5,50,92.41,5493.8
TXN1012,2021-01-31,Q1 2021,Consulting,51598.57,25231.49,23814.92,52.0,2,23,96.48,5724.38
TXN1024,2021-03-02,Q1 2021,Consulting,54271.41,22407.82,20659.89,48.5,2,19,183.04,7465.33
TXN1027,2021-03-02,Q1 2021,Cloud Infrastructure,113438.28,51784.96,72746.68,61.8,6,49,95.97,7312.42
TXN1026,2021-03-02,Q1 2021,Cloud Infrastructure,134074.15,41753.67,82091.1,61.8,6,49,175.89,7312.42
TXN1025,2021-03-02,Q1 2021,Consulting,55478.66,23386.94,20812.49,48.5,2,19,172.6,7465.33
TXN1023,2021-03-02,Q1 2021,Consulting,54936.84,23156.54,27411.37,48.5,2,19,102.41,7465.33
TXN1020,2021-03-02,Q1 2021,Hardware Sales,78572.85,51026.84,27676.97,35.5,3,24,50.4,9216.01
TXN1021,2021-03-02,Q1 2021,Hardware Sales,88215.94,55686.57,25209.94,35.5,3,24,93.87,9216.01
TXN1019,2021-03-02,Q1 2021,Digital Services,107678.06,34780.91,67791.33,65.4,5,44,171.37,6409.84
TXN1018,2021-03-02,Q1 2021,Digital Services,109564.22,33811.11,58856.35,65.4,5,44,94.05,6409.84
TXN1017,2021-03-02,Q1 2021,Digital Services,109245.45,29601.48,65471.09,65.4,5,44,86.04,6409.84
TXN1022,2021-03-02,Q1 2021,Hardware Sales,77857.1,55637.66,31308.76,35.5,3,24,88.63,9216.01
TXN1037,2021-04-01,Q2 2021,Cloud Infrastructure,155755.4,58427.8,77478.97,60.4,7,75,154.98,5509.47
TXN1036,2021-04-01,Q2 2021,Cloud Infrastructure,146385.38,50138.84,91231.78,60.4,7,75,199.41,5509.47
TXN1035,2021-04-01,Q2 2021,Consulting,48613.81,24489.0,24365.67,51.5,2,22,119.98,5987.2
TXN1034,2021-04-01,Q2 2021,Consulting,46957.76,21876.3,22302.55,51.5,2,22,89.6,5987.2
TXN1033,2021-04-01,Q2 2021,Consulting,51661.65,24542.94,24793.88,51.5,2,22,119.4,5987.2
TXN1032,2021-04-01,Q2 2021,Hardware Sales,63038.44,44118.67,24338.68,35.4,3,32,134.33,6276.9
TXN1030,2021-04-01,Q2 2021,Digital Services,112970.0,34659.48,65894.57,66.4,5,53,73.56,6129.5
TXN1029,2021-04-01,Q2 2021,Digital Services,117103.27,35691.08,83674.02,66.4,5,53,137.61,6129.5
TXN1028,2021-04-01,Q2 2021,Digital Services,113779.21,37193.11,68578.0,66.4,5,53,57.2,6129.5
TXN1031,2021-04-01,Q2 2021,Hardware Sales,76759.01,50744.08,22237.12,35.4,3,32,62.27,6276.9
TXN1043,2021-05-01,Q2 2021,Consulting,45463.97,22443.58,20481.72,51.0,2,23,167.69,5602.55
TXN1046,2021-05-01,Q2 2021,Cloud Infrastructure,131212.34,64039.66,91189.65,60.7,7,58,179.82,7089.55
