Order ID,Date,Product Category,Product Name,Region,Customer Segment,Unit Price,Quantity,Total Revenue,Discount (%),Customer Satisfaction,Shipping Days
ORD1405,2023-01-01,Home & Garden,Lamp,South America,Budget,59.8,5,299.0,6.6,4.0,2
ORD1126,2023-01-01,Sports,Bottle,Asia,Standard,100.83,5,504.15,4.2,3.7,5
ORD1382,2023-01-02,Electronics,Camera,North America,Premium,1408.84,2,2817.68,3.3,4.9,7
ORD1221,2023-01-03,Toys,Board Game,Asia,Budget,20.68,3,62.04,7.0,3.2,7
ORD1304,2023-01-04,Electronics,Laptop,Africa,Premium,1330.87,5,6654.35,2.0,4.6,6
ORD1114,2023-01-04,Home & Garden,Lamp,Europe,Budget,53.38,2,106.76,13.7,3.6,1
ORD1441,2023-01-06,Books,Magazine,Africa,Premium,38.29,5,191.45,4.9,4.3,4
ORD1021,2023-01-07,Clothing,Shoes,South America,Budget,52.11,2,104.22,10.6,3.8,6
ORD1496,2023-01-07,Books,Magazine,South America,Premium,40.83,5,204.15,2.2,4.2,5
ORD1163,2023-01-08,Electronics,Smartphone,Asia,Premium,1450.62,2,2901.24,2.3,4.6,5
ORD1282,2023-01-09,Sports,Weights,North America,Budget,20.76,4,83.04,24.9,3.8,3
ORD1266,2023-01-10,Books,Fiction,North America,Standard,33.48,5,167.4,13.8,4.4,4
ORD1311,2023-01-10,Toys,Car,Asia,Budget,33.66,2,67.32,8.4,3.4,2
ORD1105,2023-01-12,Books,Textbook,South America,Premium,45.44,2,90.88,2.0,4.2,1
ORD1209,2023-01-16,Home & Garden,Chair,Africa,Budget,130.91,5,654.55,5.7,3.4,7
ORD1129,2023-01-20,Books,Non-Fiction,South America,Standard,30.89,4,123.56,11.3,4.5,4
ORD1493,2023-01-21,Sports,Racket,South America,Premium,124.6,1,124.6,4.1,4.1,5
ORD1160,2023-01-22,Sports,Ball,South America,Standard,96.66,3,289.98,10.4,4.1,2
ORD1353,2023-01-25,Home & Garden,Chair,Africa,Budget,114.71,2,229.42,22.5,4.5,1
ORD1428,2023-01-26,Toys,Puzzle,North America,Standard,59.9,1,59.9,7.8,3.6,6
ORD1001,2023-01-26,Books,Textbook,South America,Standard,32.99,1,32.99,2.3,3.7,4
ORD1335,2023-01-26,Sports,Racket,Europe,Premium,134.65,1,134.65,3.5,4.8,3
ORD1015,2023-01-28,Books,Magazine,South America,Budget,23.25,5,116.25,11.2,3.8,3
ORD1514,2023-01-28,Electronics,Camera,North America,Premium,1305.29,2,2610.58,1.3,5.0,7
ORD1516,2023-01-28,Home & Garden,Cushion,Asia,Premium,213.91,5,1069.55,3.2,5.0,4
ORD1364,2023-01-29,Clothing,Jeans,Asia,Premium,176.46,4,705.84,2.6,4.2,5
